property,row,field,location,original,inferred,reason,confidence,auto_filled
Elm_Ledbury,454,Area Type,Floors (PH-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,455,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,457,Area Type,Floors (11th-3rd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,458,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,460,Area Type,Floors (11th-3rd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,461,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,463,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,468,Area Type,Glass/mirrors 2nd floor,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,538,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,542,Area Type,Glass/mirrors UPH Level,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,569,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,573,Area Type,Glass/mirrors UPH Level,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,618,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,618,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,619,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,619,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,620,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,620,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,621,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,621,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,622,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,622,Frequency,(building-wide),Unknown,As needed,notes/source_text state cadence ('As needed'),High,yes
Elm_Ledbury,623,Area Type,Ground Floor / UPH Floor janitor rooms,Unknown,Back-of-House,location name contains 'janitor',High,yes
Elm_Ledbury,623,Frequency,Ground Floor / UPH Floor janitor rooms,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,624,Area Type,(all mopped areas),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,3,Area Type,glass doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,13,Area Type,glass doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,24,Area Type,Glass,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,28,Area Type,LAUNDRY,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,30,Task,Corridors Gr.-10th Floor,(no explicit task verb stated),Sweep,source_text contains action 'sweep',Medium,no
Maddox-Tyndall,31,Area Type,Floors Gr-10th,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,33,Task,Corridors Gr.-10th Floor,(no explicit task verb stated),Sweep,source_text contains action 'sweep',Medium,no
Maddox-Tyndall,34,Area Type,Floors Gr-10th,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,36,Task,Corridors Gr.-10th Floor,(no explicit task verb stated),Vacuum Floors,sibling rows specify a single task — needs review,Medium,no
Maddox-Tyndall,37,Area Type,Floors Gr-10th,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,38,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,38,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,39,Frequency,Resident doors & thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,40,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,40,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,41,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,42,Frequency,Elevator doors and frames & ALL ELEVATOR TRACKS,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,43,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,44,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,45,Frequency,Chute Room Tiles,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,46,Frequency,Stairwell handrails floors B-11th,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,51,Area Type,glass doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,63,Area Type,glass doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,76,Area Type,Glass,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,80,Area Type,LAUNDRY,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,82,Task,Corridors Gr.-11th Floor,(no explicit task verb stated),Sweep,source_text contains action 'sweep',Medium,no
Maddox-Tyndall,83,Area Type,Floors Gr-11th,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,85,Task,Corridors Gr.-11th Floor,(no explicit task verb stated),Sweep,source_text contains action 'sweep',Medium,no
Maddox-Tyndall,86,Area Type,Floors Gr-11th,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,88,Task,Corridors Gr.-11th Floor,(no explicit task verb stated),Vacuum Floors,sibling rows specify a single task — needs review,Medium,no
Maddox-Tyndall,89,Area Type,Floors Gr-11th,Unknown,,location name has no recognizable area keyword,Low,no
Maddox-Tyndall,90,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,90,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,91,Frequency,Resident doors & thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,92,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Maddox-Tyndall,92,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,93,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,94,Frequency,Elevator doors and frames & ALL ELEVATOR TRACKS,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,95,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,96,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,97,Frequency,Chute Room Tiles,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,98,Frequency,Stairwell handrails floors B-11th,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,100,Area Type,B floor / Ground floor janitor station,Unknown,Back-of-House,location name contains 'janitor',High,yes
Maddox-Tyndall,100,Frequency,B floor / Ground floor janitor station,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Maddox-Tyndall,101,Area Type,(all mopped areas),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,51,Area Type,10 DEAN,Unknown,,location name has no recognizable area keyword,Low,no
Parker,51,Frequency,10 DEAN,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,53,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,53,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,54,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,54,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,55,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,55,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,56,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,56,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,57,Task,3rd Floor Tiled Exit to patio,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Parker,58,Task,3rd Floor Patio,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Parker,59,Task,3rd Floor Dog Run Area,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Parker,67,Area Type,39th Floor Glass,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,70,Area Type,38th Floor Kids Adventure Zone,Unknown,,location name has no recognizable area keyword,Low,no
Parker,74,Area Type,38th Floor Bowling Alley,Unknown,,location name has no recognizable area keyword,Low,no
Parker,77,Area Type,38th Floor Windows,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,83,Area Type,Floor (2nd-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,84,Area Type,Carpet (2nd-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,86,Area Type,Floor (13th-25th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,87,Area Type,Carpet (13th-25th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,89,Area Type,Floor (26th-37th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,90,Area Type,Carpet (26th-37th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,91,Task,3rd Floor Tiled Exit to patio,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Parker,92,Task,3rd Floor Patio,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Parker,93,Task,3rd Floor Dog Run Area,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Parker,94,Area Type,38th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,95,Area Type,39th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,96,Area Type,5th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,97,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,97,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,98,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,98,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,99,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,99,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,100,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,100,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,101,Area Type,Glass & Mirrors 39,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,102,Area Type,Glass & Mirrors 38,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,118,Area Type,38th Floor Kids Adventure Zone,Unknown,,location name has no recognizable area keyword,Low,no
Parker,122,Area Type,38th Floor Bowling Alley,Unknown,,location name has no recognizable area keyword,Low,no
Parker,131,Area Type,39th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,131,Frequency,39th Floor,Unknown,Daily,same location scheduled 'Daily' elsewhere (different task),Medium,no
Parker,132,Area Type,38th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,132,Frequency,38th Floor,Unknown,Daily,same location scheduled 'Daily' elsewhere (different task),Medium,no
Parker,135,Area Type,39th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,135,Frequency,39th Floor,Unknown,Daily,same location scheduled 'Daily' elsewhere (different task),Medium,no
Parker,136,Area Type,38th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,136,Frequency,38th Floor,Unknown,Daily,same location scheduled 'Daily' elsewhere (different task),Medium,no
Parker,137,Frequency,Chute Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,138,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,138,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,139,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,139,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,140,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,140,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,141,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,141,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,142,Area Type,Electrical Closet 39th Floor,Unknown,Back-of-House,location name contains 'electrical',High,yes
Parker,142,Task,Electrical Closet 39th Floor,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,142,Frequency,Electrical Closet 39th Floor,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,158,Task,3rd Floor Tiled Exit to patio,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,159,Task,3rd Floor Patio,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,160,Task,3rd Floor Dog Run Area,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,188,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,188,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,189,Frequency,"Resident doors, frames, thresholds",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,190,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,190,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,191,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,192,Frequency,Elevator doors and frames & TRACKS 37(PH) to 2nd,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,193,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,194,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,197,Frequency,Lobby furniture,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,198,Frequency,Washrooms,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,199,Area Type,Glass,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,199,Frequency,Glass,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,200,Frequency,Elevator tracks,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,201,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,201,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,202,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,202,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,203,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,203,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,204,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,204,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,205,Area Type,Electrical Closet 39th Floor,Unknown,Back-of-House,location name contains 'electrical',High,yes
Parker,205,Task,Electrical Closet 39th Floor,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,205,Frequency,Electrical Closet 39th Floor,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,230,Area Type,(location not specified),Unknown,,location name has no recognizable area keyword,Low,no
Parker,254,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,254,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,255,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,255,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,256,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,256,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,257,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,257,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,261,Area Type,Electrical Closets 39th floor,Unknown,Back-of-House,location name contains 'electrical',High,yes
Parker,261,Task,Electrical Closets 39th floor,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,261,Frequency,Electrical Closets 39th floor,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,262,Frequency,Lobby furniture,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,263,Frequency,Washrooms,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,264,Area Type,Glass,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,264,Frequency,Glass,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,265,Frequency,Elevator tracks,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,290,Area Type,(location not specified),Unknown,,location name has no recognizable area keyword,Low,no
Parker,314,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,314,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,315,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,315,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,316,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,316,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,317,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,317,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,321,Area Type,Electrical Closets 39th floor,Unknown,Back-of-House,location name contains 'electrical',High,yes
Parker,321,Task,Electrical Closets 39th floor,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,321,Frequency,Electrical Closets 39th floor,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,322,Frequency,Lobby furniture,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,323,Frequency,Washrooms,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,324,Area Type,Glass,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,324,Frequency,Glass,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,325,Frequency,Elevator tracks,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,327,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,330,Task,3rd Floor Dog Exit,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,331,Task,Dog Run Area,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,344,Area Type,38th Floor Kids Adventure Zone,Unknown,,location name has no recognizable area keyword,Low,no
Parker,348,Area Type,38th Floor Bowling Alley,Unknown,,location name has no recognizable area keyword,Low,no
Parker,352,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,355,Task,3rd Floor Dog Exit,(no explicit task verb stated),Debris Pick up,shared block has mixed tasks — dominant shown — needs review,Medium,no
Parker,356,Task,Dog Run Area,(no explicit task verb stated),Debris Pick up,shared block has mixed tasks — dominant shown — needs review,Medium,no
Parker,362,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,364,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,367,Task,3rd Floor Dog Exit,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,368,Task,Dog Run Area,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,374,Area Type,39th & 38th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,376,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,379,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,379,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,380,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,380,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,381,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,381,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,382,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,382,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,386,Area Type,Electrical Closets 39th floor,Unknown,Back-of-House,location name contains 'electrical',High,yes
Parker,386,Task,Electrical Closets 39th floor,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,386,Frequency,Electrical Closets 39th floor,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,388,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,391,Task,3rd Floor Dog Exit,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,392,Task,Dog Run Area,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,405,Area Type,38th Floor Kids Adventure Zone,Unknown,,location name has no recognizable area keyword,Low,no
Parker,409,Area Type,38th Floor Bowling Alley,Unknown,,location name has no recognizable area keyword,Low,no
Parker,413,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,416,Task,3rd Floor Dog Exit,(no explicit task verb stated),Debris Pick up,shared block has mixed tasks — dominant shown — needs review,Medium,no
Parker,417,Task,Dog Run Area,(no explicit task verb stated),Debris Pick up,shared block has mixed tasks — dominant shown — needs review,Medium,no
Parker,423,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,425,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,428,Task,3rd Floor Dog Exit,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,429,Task,Dog Run Area,(no explicit task verb stated),Clean Barbeque,sibling rows specify a single task — needs review,Medium,no
Parker,435,Area Type,39th & 38th Floor,Unknown,,location name has no recognizable area keyword,Low,no
Parker,437,Area Type,Back,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Parker,440,Task,39th Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,440,Frequency,39th Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,441,Task,39th Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,441,Frequency,39th Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,442,Task,P3 Storage Rm.,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,442,Frequency,P3 Storage Rm.,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,443,Task,P3 Housekeeping Room,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,443,Frequency,P3 Housekeeping Room,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Parker,447,Area Type,Electrical Closets 39th floor,Unknown,Back-of-House,location name contains 'electrical',High,yes
Parker,447,Task,Electrical Closets 39th floor,(no explicit task stated),,no task verb in source_text or sibling rows,Low,no
Parker,447,Frequency,Electrical Closets 39th floor,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,0,Area Type,10 Dean,Unknown,,location name has no recognizable area keyword,Low,no
Sloane,16,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Sloane,34,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Sloane,34,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,35,Frequency,Resident doors & thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,36,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Sloane,36,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,37,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,38,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Sloane,38,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,39,Frequency,Elevator doors and frames & TRACKS (that floor only) P levels,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,40,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,41,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,42,Frequency,Chute Room Tiles,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,53,Area Type,BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Sloane,62,Area Type,Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Sloane,65,Area Type,Floors,Unknown,,location name has no recognizable area keyword,Low,no
Sloane,68,Area Type,Floors,Unknown,,location name has no recognizable area keyword,Low,no
Sloane,71,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Sloane,71,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,72,Area Type,Doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Sloane,72,Frequency,Doors,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Sloane,73,Frequency,Thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
